bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Acacia viscidula,3899,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Banksia cunninghamii,8595,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers"
Bossiaea obcordata,2784,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed,Resprout from epicormic shoots"
Bossiaea obcordata,2784,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed,Resprout from epicormic shoots"
Brachyloma daphnoides,2586,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Calytrix tetragona,4021,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Hakea dactyloides,5409,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Leptospermum novae-angliae,8478,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Leptospermum trinervium,8486,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers"
Persoonia cornifolia,5455,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Styphelia triflora,2660,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Correa reflexa,5772,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Daviesia ulicifolia,2827,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Grevillea linearifolia,5381,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Hibbertia obtusifolia,2542,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Hovea lanceolata,2875,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
Leucopogon biflorus,2613,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Leucopogon melaleucoides,2628,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Melichrus erubescens,2644,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Mirbelia pungens,2937,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Mirbelia speciosa,2939,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#, Resprout from epicormic shoots?"
Mirbelia speciosa,2939,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#, Resprout from epicormic shoots?"
Persoonia tenuifolia,5475,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Petrophile canescens,5477,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Zieria laevigata,5841,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#, Resprout from epicormic shoots?"
Zieria laevigata,5841,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#, Resprout from epicormic shoots?"
Gonocarpus tetragynus,3247,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Stylidium laricifolium,6158,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
Acacia pruinosa,3858,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Acacia torringtonensis,3888,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Harmogia densifolia,13289,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Hovea purpurea,2880,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Dillwynia phylicoides,7225,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Lomatia silaifolia,5445,Clarke Fulloon 1999,surv4,Epicormic,NA,NA,NA,"Fire Response, Resprout from epicormic shoots"
Actinotus helianthi,1094,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
Boronia spp.,BORO,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed?"
Callistemon spp.,CALL,Clarke Fulloon 1999,surv4,Basal,NA,NA,NA,"Fire Response, Resprout from basal stem buds such as those in lignotubers"
Indigofera spp.,INDI,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed"
Leucopogon neoanglicus,2631,Clarke Fulloon 1999,germ1,Soil-persistent,NA,NA,NA,"Fire Response, Propagules remaining after fires passage are held as soil-stored seed#"
