bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value,notes
Juncus planifolius,3340,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Juncus planifolius,3340,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
Lepidosperma elatius,8379,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Lepidosperma elatius,8379,Wark 1997,repr3a,2,2,NA,NA,"First flowering, F2; Regeneration strategy, ORR",NA
Luzula meridionalis,3359,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Luzula meridionalis,3359,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
Schoenus apogon,2491,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Schoenus apogon,2491,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
Acianthus caudatus,4351,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Acianthus caudatus,4351,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
Acianthus pusillus,9088,Wark 1997,surv1,All,NA,NA,NA,"Regeneration strategy, ORR",NA
Acianthus pusillus,9088,Wark 1997,repr3a,1,1,NA,NA,"First flowering, F1; Regeneration strategy, ORR",NA
