row_number,trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower
97493,surv5,Hakea dohertyi,10802,NSWFFRDv2.1,NA,"{""Life span"",>100}",NA,NA,NA,NA,100
97494,surv5,Hakea gibbosa,5415,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",20-30?}","{""Cell color index 12"",uncertain}",NA,NA,30,20
97495,surv5,Hakea laevipes subsp. laevipes,10804,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",40-80}","{""Cell color index 12""}",NA,NA,80,40
97496,surv5,Hakea macrorrhyncha,9602,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""Life span"",<20?}","{""Cell color index 12"",uncertain}",NA,NA,20,NA
97497,surv5,Hakea microcarpa,5420,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",70?}","{""Cell color index 12"",uncertain}",NA,70,NA,NA
97498,surv5,Hakea salicifolia subsp. salicifolia,10806,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",20-30?}","{""Cell color index 12"",uncertain}",NA,NA,30,20
97499,surv5,Hakea sericea,5425,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""EcoGIS 2002""}","{""Life span"",""15-20; 23 (1), present with fruits at 20-25 yo sites (105)""}",NA,NA,NA,NA,15
97500,surv5,Hakea sericea,5425,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""EcoGIS 2002""}","{""Life span"",""15-20; 23 (1), present with fruits at 20-25 yo sites (105)""}",NA,NA,NA,NA,15
97501,surv5,Hakea teretifolia,5427,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
97502,surv5,Hakea ulicina,5429,NSWFFRDv2.1,"{""Department Natural Resources Environment ""}","{""Life span"",50}","{""Cell color index 12""}",NA,50,NA,NA
97503,surv5,Haloragis heterophylla,3252,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",short?}","{""Cell color index 12"",uncertain}",NA,NA,NA,NA
97504,surv5,Haloragis odontocarpa,3253,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97505,surv5,Hardenbergia violacea,2873,NSWFFRDv2.1,"{""Hunter Vegetation Washpool National Park Western A""}","{""Life span"",5-30}","{""Cell color index 12""}",NA,NA,30,5
97506,surv5,Harmsiodoxa blennodioides,1811,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97507,surv5,Hedycarya angustifolia,3914,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn""}","{""Life span"",20-50}","{""Cell color index 12""}",NA,NA,50,20
97508,surv5,Hedypnois rhagadioloides subsp. cretica,8913,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97509,surv5,Helichrysum rutidolepis,1502,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97510,surv5,Heliotropium europaeum,1761,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97511,surv5,Hemarthria uncinata var. uncinata,7871,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",indefinite}","{""Cell color index 12""}",NA,NA,NA,NA
97512,surv5,Hemigenia purpurea,3376,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",20-40}","{""Cell color index 12""}",NA,NA,40,20
97513,surv5,Hemigenia purpurea,3376,NSWFFRDv2.1,"{""Benson McDougall Ecology Sydney Plant Species Cunn"",""Keith David pers. comm.""}","{""Life span"",20-40}","{""Cell color index 12""}",NA,NA,40,20
97514,surv5,Herniaria cinerea,9667,NSWFFRDv2.1,NA,"{""Life span"",annual}",NA,NA,NA,NA,NA
97515,surv5,Herpolirion novae-zelandiae,3549,NSWFFRDv2.1,"{""Wahren Papst Williams 1999""}","{""Life span"",10?}","{""Cell color index 12"",uncertain}",NA,10,NA,NA
97516,surv5,Hibbertia aspera subsp. aspera,10554,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""present at 22 yo site""}","{""Cell color index 12""}",NA,NA,NA,NA
97517,surv5,Hibbertia cistoidea,2531,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""present & flowering at 20 yo site""}","{""Cell color index 12""}",NA,NA,NA,NA
97518,surv5,Hibbertia dentata,2532,NSWFFRDv2.1,"{""EcoGIS 2002""}","{""Life span"",""common at 22 yo site""}","{""Cell color index 12""}",NA,NA,NA,NA
97519,surv5,Hibbertia empetrifolia subsp. empetrifolia,10863,NSWFFRDv2.1,"{""Keith David pers. comm.""}","{""Life span"",25-60}","{""Cell color index 12""}",NA,NA,60,25
97520,surv5,Hibbertia fasciculata,2536,NSWFFRDv2.1,"{""Clemens Franklin 1980""}","{""Life span"",""absent or rare in 10 yo heath""}","{""Cell color index 12""}",NA,NA,NA,NA
