trait_code,species,species_code,main_source,original_sources,raw_value,original_notes,norm_value,best,upper,lower,sources,why
surv1,Calytrix tetragona,4021,NSWFFRDv2.1,"{""Clarke Fulloon 1999""}","{""VA Group II"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is S/R""}",NA,None,NA,NA,NA,Clarke Fulloon 1999,surv1 logic
surv1,Caustis recurvata var. recurvata,9315,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Sr""}","{""Variable (39), killed by fire (126)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Chordifex fastigiatus,13528,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Chorizandra cymbaria,2344,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Chorizandra sphaerocephala,2345,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Chorizema parviflorum,2797,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (R in heath, S in forest) (BW)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Chorizema parviflorum,2797,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (R in heath, S in forest) (BW)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Coleocarya gracilis,5531,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 2"",""Killed by 100% scorch; seed storage in soil"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (BW)""}",None,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Coleocarya gracilis,5531,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 4"",""Survives 100% scorch; resprouts from root suckers or rhizomes"",""Overall value of fireresponse column is Rs""}","{""Variable fire response (BW)""}",All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Comesperma defoliatum,5252,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Keith 1991,surv1 logic
surv1,Comesperma defoliatum,5252,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Comesperma defoliatum,5252,NSWFFRDv2.1,"{""Benwell 1998""}","{""VA Group IX"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is R""}",NA,All,NA,NA,NA,Benwell 1998,surv1 logic
surv1,Comesperma retusum,5255,NSWFFRDv2.1,"{""Keith 1991""}","{""VA Group 9"",""Survives 100% scorch; resprout location unknown"",""Overall value of fireresponse column is S/R""}","{""Seeder in subalpine treeless plain (120)""}",All,NA,NA,NA,Keith 1991,surv1 logic
