bionet_name,species_code,original_source,trait_code,norm_value,best,lower,upper,raw_value
Tricostularia pauciflora,2518,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Tricoryne simplex,3577,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Tricoryne simplex,3577,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Utricularia dichotoma,3507,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Utricularia lateriflora,3508,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Viminaria juncea,3105,Keith 1991,surv1,Few,NA,NA,NA,"vegetative_recovery, obligate seeder"
Viminaria juncea,3105,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Viminaria juncea,3105,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Viola sieberiana,11190,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Viola sieberiana,11190,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Xanthorrhoea resinosa,6321,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Xanthorrhoea resinosa,6321,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Xanthosia dissecta,1161,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Xanthosia dissecta,1161,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Xanthosia tridentata,1163,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Xanthosia tridentata,1163,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Xanthosia tridentata,1163,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Xyris juncea,6323,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Xyris juncea,6323,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Xyris operculata,6324,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Xyris operculata,6324,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Xyris ustulata,6325,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Xyris ustulata,6325,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Machaerina acuta,15318,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Machaerina rubiginosa,15327,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Machaerina teretifolia,15328,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Calochlaena dubia,8341,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Calochlaena dubia,8341,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Darwinia fascicularis subsp. fascicularis,6508,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Darwinia fascicularis subsp. fascicularis,6508,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Darwinia fascicularis subsp. fascicularis,6508,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Drosera spatulata,2561,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Drosera spatulata,2561,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Corymbia gummifera,9687,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Corymbia gummifera,9687,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Euphrasia collina subsp. speciosa,7739,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Euphrasia collina subsp. speciosa,7739,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Gonocarpus micranthus subsp. micranthus,8649,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Gonocarpus micranthus subsp. micranthus,8649,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Gonocarpus micranthus subsp. micranthus,8649,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Grevillea parviflora,5389,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Grevillea parviflora,5389,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Grevillea parviflora,5389,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Leptospermum squarrosum,4239,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Leptospermum squarrosum,4239,Keith 1991,germ1,Canopy,NA,NA,NA,"propagule_storage, canopy"
Leptospermum squarrosum,4239,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Sporadanthus gracilis,10603,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Sporadanthus gracilis,10603,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lomandra filiformis subsp. coriacea,6511,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Lomandra filiformis subsp. coriacea,6511,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Lomandra filiformis subsp. filiformis,7931,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Lomandra filiformis subsp. filiformis,7931,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Patersonia sericea,3303,Keith 1991,germ1,Non-canopy,NA,NA,NA,"propagule_storage, no storage"
Patersonia sericea,3303,Keith 1991,repr2,Facultative,NA,NA,NA,"fruit_production, facultative pulse in first 2-3 postfire reproductive seasons"
Leionema diosmeum,10728,Keith 1991,surv1,None,NA,NA,NA,"vegetative_recovery, obligate seeder"
Leionema diosmeum,10728,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Leionema diosmeum,10728,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Pimelea linifolia subsp. linifolia,6814,Keith 1991,surv1,Few,NA,NA,NA,"vegetative_recovery, obligate seeder"
Pimelea linifolia subsp. linifolia,6814,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Pimelea linifolia subsp. linifolia,6814,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Ptilothrix deusta,8956,Keith 1991,repr2,Exclusive,NA,NA,NA,"fruit_production, exclusive pulse in first 2-3 postfire reproductive seasons"
Pultenaea tuberculata,11386,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Pultenaea tuberculata,11386,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Eurychorda complanata,10615,Keith 1991,germ1,Soil-persistent,NA,NA,NA,"propagule_storage, soil"
Eurychorda complanata,10615,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
Chordifex fastigiatus,13528,Keith 1991,repr2,Negligible,NA,NA,NA,"fruit_production, no pulse"
